j,rho,icc,g,design
17,.25,.21648555,77.107559,4.1804528
18,.25,.23842679,77.608734,4.3892565
19,.25,.24284662,76.424187,4.3950548
20,.25,.27150381,76.945023,4.6496625
21,.25,.23996532,76.150078,4.36273
22,.25,.26191303,77.099564,4.5750918
23,.25,.23837797,77.546425,4.3871384
24,.25,.26560494,76.629097,4.5921087
25,.25,.26609999,75.649498,4.5677381
26,.25,.22208567,75.808281,4.1968856
27,.25,.2364268,76.777603,4.349236
28,.25,.24873728,76.713448,4.4533982
29,.25,.25504479,76.209503,4.492415
30,.25,.23470163,76.954872,4.3389783
31,.25,.2904385,76.991409,4.8032107
32,.25,.22682115,74.667526,4.2082481
33,.25,.23110691,76.294197,4.2896399
34,.25,.25445005,76.109055,4.4845848
35,.25,.25811282,74.985077,4.4829116
36,.25,.24166332,76.366196,4.3832917
37,.25,.25737265,76.695198,4.5256906
38,.25,.21330401,75.607506,4.1126733
39,.25,.24979937,76.937004,4.4686704
40,.25,.21155666,76.307465,4.1148262
41,.25,.24001916,76.266701,4.3664002
42,.25,.24460335,76.871544,4.422492
43,.25,.23723041,76.058067,4.3365951
44,.25,.2660813,76.562088,4.5940895
45,.25,.23584346,77.077385,4.3522816
46,.25,.22323066,76.649452,4.2293353
47,.25,.26716459,75.865585,4.5827322
48,.25,.26584232,75.742393,4.5683355
49,.25,.26725864,77.258408,4.623929
50,.25,.20068584,76.456688,4.0178461
51,.25,.28727868,77.50843,4.7936668
52,.25,.24690691,75.048218,4.391243
53,.25,.27782646,75.896141,4.6699176
54,.25,.22001638,76.447563,4.1951995
55,.25,.23951012,75.186859,4.332263
56,.25,.2232185,77.047279,4.2397122
57,.25,.24621372,75.289299,4.3921571
58,.25,.26152885,76.286133,4.5485706
59,.25,.24368867,78.029015,4.4464703
60,.25,.22762181,76.734512,4.2706938
61,.25,.22478604,75.464981,4.2117324
62,.25,.22455795,76.680145,4.2420015
63,.25,.24818419,76.941948,4.4550633
64,.25,.26562876,75.620087,4.5630298
65,.25,.22996265,75.222626,4.2506976
66,.25,.28384006,76.423286,4.7337251
67,.25,.24749674,76.902893,4.4481139
68,.25,.2642839,76.699242,4.58324
69,.25,.23215294,76.691284,4.3095188
70,.25,.23730005,76.086113,4.337965
71,.25,.25495827,77.231773,4.5206108
72,.25,.24182093,76.105331,4.3774467
73,.25,.30048296,75.626968,4.8398485
74,.25,.24191113,76.741005,4.3957472
75,.25,.23718339,76.505173,4.3483987
76,.25,.23204517,76.428154,4.3014812
77,.25,.24169685,76.312965,4.382112
78,.25,.28058872,77.631546,4.7436218
79,.25,.25594589,76.824707,4.5174131
80,.25,.25272346,76.920265,4.4929757
81,.25,.2249667,75.996384,4.2274919
82,.25,.25998408,75.695976,4.5188231
83,.25,.24061526,77.591911,4.4078546
84,.25,.28597692,76.173088,4.7431812
85,.25,.20961112,77.848724,4.1362238
86,.25,.25120649,76.078156,4.4564695
87,.25,.24112962,75.595818,4.3574376
88,.25,.24943066,75.298439,4.4195371
89,.25,.24660379,76.103813,4.4182444
90,.25,.22462313,75.706284,4.2167239
91,.25,.25954089,76.282463,4.5319839
92,.25,.26853025,76.845261,4.6224179
93,.25,.26308951,76.652245,4.5720139
94,.25,.21616541,77.665787,4.1919556
95,.25,.25192443,76.593346,4.4770312
96,.25,.24760903,77.19175,4.4571028
97,.25,.21410653,75.883408,4.1271086
98,.25,.24228093,77.356766,4.4158564
99,.25,.24965124,75.662895,4.4316683
100,.25,.27089828,76.229958,4.6238151
1,.5,.45876527,75.944916,5.9482875
2,.5,.4943009,76.690414,6.1978898
3,.5,.48560959,75.774574,6.1082935
4,.5,.48005259,77.237549,6.1317234
5,.5,.48068833,76.643707,6.1123686
6,.5,.48199528,74.774765,6.046411
7,.5,.46917778,76.878998,6.0498543
8,.5,.45872062,76.614441,5.9737678
9,.5,.52918196,74.947853,6.3349719
10,.5,.52283263,77.733818,6.4124055
11,.5,.46327889,77.06678,6.019978
12,.5,.51375294,75.660889,6.2735357
13,.5,.50436634,76.201065,6.2393017
14,.5,.47268584,76.133339,6.0427198
15,.5,.48413274,76.592064,6.1316061
16,.5,.56094855,76.551414,6.5863843
17,.5,.54815745,76.530029,6.5117083
18,.5,.51124412,75.232117,6.2410522
19,.5,.50139534,76.996422,6.2533393
20,.5,.45394993,76.178238,5.9268165
21,.5,.47666517,76.121834,6.0669565
22,.5,.52419835,75.580521,6.3320603
23,.5,.48131049,77.579491,6.1529269
24,.5,.51110959,75.335701,6.2444925
25,.5,.5129813,76.798981,6.3153353
26,.5,.48482901,75.960815,6.1109066
27,.5,.48380545,78.189735,6.1923189
28,.5,.52996445,76.541634,6.4058084
29,.5,.54236937,75.402733,6.4306889
30,.5,.45672238,76.779236,5.9674177
31,.5,.46834233,76.589989,6.0334063
32,.5,.50629103,76.949699,6.2811346
33,.5,.50690234,76.217514,6.2552323
34,.5,.45814791,75.984245,5.9459124
35,.5,.53925598,77.218048,6.4885311
36,.5,.50276542,77.688644,6.2893877
37,.5,.4940888,75.740906,6.1586237
38,.5,.49727979,75.732376,6.1776128
39,.5,.4867987,76.886795,6.1596746
40,.5,.48961461,76.738358,6.1711106
41,.5,.524481,76.796036,6.383853
42,.5,.49063644,77.405312,6.2038078
43,.5,.49950108,76.819191,6.2347226
44,.5,.50904387,77.570999,6.3228159
45,.5,.51034445,76.792343,6.2992225
46,.5,.4993495,76.930229,6.2382469
47,.5,.54883617,75.297417,6.4635215
48,.5,.52271253,77.134636,6.3872156
49,.5,.53785813,75.681778,6.416245
50,.5,.48877791,76.082878,6.1399393
51,.5,.51042694,75.824821,6.2603998
52,.5,.50145143,74.649239,6.1588569
53,.5,.51972586,76.534515,6.3448596
54,.5,.50236279,77.36676,6.2740593
55,.5,.4796266,76.925316,6.1168456
56,.5,.52418351,76.367241,6.3644533
57,.5,.50308824,75.334709,6.1965246
58,.5,.49888784,78.183891,6.285388
59,.5,.54932898,75.408867,6.4710855
60,.5,.49951282,76.635231,6.2274208
61,.5,.48456675,76.252419,6.120851
62,.5,.49008346,76.257996,6.1548924
63,.5,.46005285,76.177727,5.9653773
64,.5,.5369963,77.109848,6.470758
65,.5,.51073271,75.5028,6.2490811
66,.5,.47750041,76.620277,6.091692
67,.5,.46459597,75.910889,5.9835858
68,.5,.45403349,75.262314,5.8921623
69,.5,.48050115,75.375458,6.0611463
70,.5,.54479593,76.409576,6.4871278
71,.5,.46768165,76.654007,6.0317488
72,.5,.48479956,76.164223,6.1187892
73,.5,.43928644,75.311462,5.8003464
74,.5,.44743115,74.70507,5.8290606
75,.5,.43333501,75.401543,5.7654829
76,.5,.49556756,75.510612,6.1583309
77,.5,.48891312,76.234161,6.1467853
78,.5,.50196373,76.503593,6.2369919
79,.5,.52517539,75.735535,6.3442307
80,.5,.48776597,76.868416,6.1649032
81,.5,.48163468,75.531776,6.0742974
82,.5,.50899637,76.105804,6.2632728
83,.5,.51060086,76.884033,6.3044786
84,.5,.48689079,76.65519,6.1510825
85,.5,.48984894,76.818596,6.1757312
86,.5,.50271809,76.203644,6.2294645
87,.5,.46544227,75.674362,5.9796829
88,.5,.47844201,76.756126,6.1028609
89,.5,.46313733,76.521454,5.9980669
90,.5,.50072157,77.085449,6.2528095
91,.5,.45497274,74.451378,5.8667173
92,.5,.51410359,75.539421,6.2706447
93,.5,.49283496,75.795479,6.1531963
94,.5,.48498029,77.367271,6.1673837
95,.5,.47902495,75.309792,6.0494828
96,.5,.51342064,76.812553,6.3185225
97,.5,.55240661,74.746742,6.4605098
98,.5,.50001222,75.964424,6.2034769
99,.5,.47631249,76.441452,6.077311
100,.5,.48171273,76.359741,6.1075158
1,.75,.72747308,76.980675,7.5015926
2,.75,.7303983,75.886551,7.4630427
3,.75,.75158155,77.159561,7.6315212
4,.75,.71149874,75.915344,7.3690009
5,.75,.71588463,77.173515,7.4519424
6,.75,.74851286,75.564743,7.5374179
7,.75,.73249245,76.53952,7.5054731
8,.75,.72675377,75.472191,7.4244828
9,.75,.7659288,76.99102,7.6943951
10,.75,.75501734,77.396133,7.6603136
11,.75,.7160843,76.105125,7.4014592
12,.75,.75407648,74.771118,7.5252285
13,.75,.74949837,75.382698,7.5332403
14,.75,.77062702,75.227592,7.6290097
