hh1,hh2,b04_district,strate,b05_region,b06_departemen,b07_souspref,b08_commune,b09_zd,b10_nomvillag,b11_quartcpt,milieu,department,density,_merge
235,2,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,1038,ABENGOUROU,RESIDENTIEL,Urbain,abengourou,83.06103286384976,Matched (3)
248,5,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60290,AFFALIKRO,,Rural,abengourou,83.06103286384976,Matched (3)
252,4,4,indenie-djuablin,indenie-djuablin,abengourou,zaranou,non communal,60090,BEBOU,AGNIKRO,Rural,abengourou,83.06103286384976,Matched (3)
242,7,4,indenie-djuablin,indenie-djuablin,abengourou,amelekia,non communal,60080,,,Rural,abengourou,83.06103286384976,Matched (3)
244,1,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60190,ANEKOUADIOKRO,NOUVEAU QUARTIER,Rural,abengourou,83.06103286384976,Matched (3)
239,2,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60170,DRAMANEKRO,DRAMANEKRO,Rural,abengourou,83.06103286384976,Matched (3)
235,6,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,300,ABENGOUROU,RESIDENTIEL,Urbain,abengourou,83.06103286384976,Matched (3)
247,11,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60270,AFFALIKRO,ASSEKRO,Rural,abengourou,83.06103286384976,Matched (3)
238,5,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,1130,ABENGOUROU,MOSSIKRO,Urbain,abengourou,83.06103286384976,Matched (3)
246,5,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60090,KOUAKOU N DRAMANKRO,,Rural,abengourou,83.06103286384976,Matched (3)
234,10,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,70,ABENGOUROU,RESIDENTIEL EXTENSION,Urbain,abengourou,83.06103286384976,Matched (3)
237,7,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,810,ABENGOUROU,BELLE VILLE1,Urbain,abengourou,83.06103286384976,Matched (3)
244,12,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60190,ANEKOUADIOKRO,NOUVEAU QUARTIER,Rural,abengourou,83.06103286384976,Matched (3)
244,4,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60190,ANEKOUADIOKRO,NOUVEAU QUARTIER,Rural,abengourou,83.06103286384976,Matched (3)
237,4,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,810,ABENGOUROU,BELLEVILLE 1,Urbain,abengourou,83.06103286384976,Matched (3)
237,3,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,810,ABENGOUROU,BELLEVILLE 1,Urbain,abengourou,83.06103286384976,Matched (3)
239,1,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60170,DRAMANEKRO,DRAMANEKRO,Rural,abengourou,83.06103286384976,Matched (3)
244,5,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60190,ANEKOUADIOKRO,ANEKOUADIOKRO,Rural,abengourou,83.06103286384976,Matched (3)
243,8,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60140,AMIAN KOUASSIKRO,MOSSIKRO,Rural,abengourou,83.06103286384976,Matched (3)
237,1,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,810,ABENGOUROU,BELLEVILLE 1,Urbain,abengourou,83.06103286384976,Matched (3)
243,11,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60140,AMIAN KOUSSIKRO,MOSSIKRO,Rural,abengourou,83.06103286384976,Matched (3)
241,8,4,indenie-djuablin,indenie-djuablin,abengourou,amelekia,non communal,40060,AMELEKIA,AMANHIA,Urbain,abengourou,83.06103286384976,Matched (3)
247,9,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60270,AFFALIKRO,ASSEKRO,Rural,abengourou,83.06103286384976,Matched (3)
236,3,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,700,KAFETOU,KAFETOU,Urbain,abengourou,83.06103286384976,Matched (3)
252,3,4,indenie-djuablin,indenie-djuablin,abengourou,zaranou,non communal,60090,BEBOU,NOUVEAU QUARTIER,Rural,abengourou,83.06103286384976,Matched (3)
247,5,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60270,AFFALIKRO,,Rural,abengourou,83.06103286384976,Matched (3)
237,11,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,810,ABENGOUROU,BELLEVILLE,Urbain,abengourou,83.06103286384976,Matched (3)
245,5,4,indenie-djuablin,indenie-djuablin,abengourou,ebilassokro,non communal,4004,EBILASSOKRO,EBILASSOKRO 1,Urbain,abengourou,83.06103286384976,Matched (3)
252,12,4,indenie-djuablin,indenie-djuablin,abengourou,zaranou,non communal,60090,BEBOU,NOUVEAU QUARTIER,Rural,abengourou,83.06103286384976,Matched (3)
250,8,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60240,KOUAMEZIANKRO,BINIKRO,Rural,abengourou,83.06103286384976,Matched (3)
236,5,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,700,CAFETOU,CAFETOU,Urbain,abengourou,83.06103286384976,Matched (3)
247,1,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60270,AFFAILIKRO,PARADIS,Rural,abengourou,83.06103286384976,Matched (3)
249,4,4,indenie-djuablin,indenie-djuablin,abengourou,yakasse-feyasse,non communal,60210,APPROMPRONOU,KONANKRO,Rural,abengourou,83.06103286384976,Matched (3)
247,12,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60270,AFFALIKRO,ASSEKRO,Rural,abengourou,83.06103286384976,Matched (3)
247,3,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60270,AFFALIKRO ASSEKRO,PARADIS,Rural,abengourou,83.06103286384976,Matched (3)
250,9,4,indenie-djuablin,indenie-djuablin,abengourou,yakasse-feyasse,non communal,60240,KOUAME ZIANKRO,ABOUDOUKRO,Rural,abengourou,83.06103286384976,Matched (3)
243,6,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60140,AMIAN KOUASSIKRO,ATTIEKRO,Rural,abengourou,83.06103286384976,Matched (3)
251,3,4,indenie-djuablin,indenie-djuablin,abengourou,zaranou,non communal,60,ZARANOU,ADDIS ABEBA,Urbain,abengourou,83.06103286384976,Matched (3)
237,6,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,810,ABENGOUGOU,BELLE VILLE1,Urbain,abengourou,83.06103286384976,Matched (3)
249,12,4,indenie-djuablin,indenie-djuablin,abengourou,yakasse-feyasse,non communal,60210,APPROMPRONOU,KONANKRO,Rural,abengourou,83.06103286384976,Matched (3)
238,1,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,1130,ABENGOUROU,MOSSIKRO,Urbain,abengourou,83.06103286384976,Matched (3)
248,6,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60290,AFFALIKRO,,Rural,abengourou,83.06103286384976,Matched (3)
243,3,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60140,AMIAN KOUASSIKRO,ATTIEKRO,Rural,abengourou,83.06103286384976,Matched (3)
239,4,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60170,DRAMANEKRO,DRAMANEKRO,Rural,abengourou,83.06103286384976,Matched (3)
251,8,4,indenie-djuablin,indenie-djuablin,abengourou,zaranou,non communal,60,ZARANOU,ADIS ABEBA,Urbain,abengourou,83.06103286384976,Matched (3)
244,10,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60190,ANEKOUADIOKRO,SOCOURA,Rural,abengourou,83.06103286384976,Matched (3)
235,9,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,300,ABENGOUROU,RESIDENTIEL 1,Urbain,abengourou,83.06103286384976,Matched (3)
241,12,4,indenie-djuablin,indenie-djuablin,abengourou,amelekia,non communal,40060,AMELEKIA,,Urbain,abengourou,83.06103286384976,Matched (3)
236,1,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,700,ABENGOUROU,CAFETOU,Urbain,abengourou,83.06103286384976,Matched (3)
247,8,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60270,AFFALIKRO,ASSEKRO,Rural,abengourou,83.06103286384976,Matched (3)
239,12,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60170,DRAMANEKRO,DRAMANEKRO,Rural,abengourou,83.06103286384976,Matched (3)
241,11,4,indenie-djuablin,indenie-djuablin,abengourou,amelekia,non communal,40060,AMELEKIA,,Urbain,abengourou,83.06103286384976,Matched (3)
242,11,4,indenie-djuablin,indenie-djuablin,abengourou,amelekia,non communal,60080,AMEAKRO,DIMBOKRO,Rural,abengourou,83.06103286384976,Matched (3)
250,1,4,indenie-djuablin,indenie-djuablin,abengourou,yakasse-feyasse,non communal,60240,KOUAME-ZIANKRO,BAKARIKRO,Rural,abengourou,83.06103286384976,Matched (3)
240,5,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60220,KODJINAN,KODJINAN,Rural,abengourou,83.06103286384976,Matched (3)
247,4,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60270,AFFALIKRO ASSEKRO,PARADIS,Rural,abengourou,83.06103286384976,Matched (3)
242,10,4,indenie-djuablin,indenie-djuablin,abengourou,amelekia,non communal,60080,AMEAKRO,DIMBOKRO,Rural,abengourou,83.06103286384976,Matched (3)
236,11,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,700,KAFETOU,KAFETOU,Urbain,abengourou,83.06103286384976,Matched (3)
235,12,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,300,ABENGOUROU,RESIDENTIEL1,Urbain,abengourou,83.06103286384976,Matched (3)
246,4,4,indenie-djuablin,indenie-djuablin,abengourou,niable,communal,60090,KOUAKOU NDRAMANKRO,,Rural,abengourou,83.06103286384976,Matched (3)
938,2,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,60050,PRIKRO OUELLE,PRIKRO OUELLE,Rural,abengourou,83.06103286384976,Matched (3)
239,9,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60170,DRAMANEKRO,DRAMANEKRO,Rural,abengourou,83.06103286384976,Matched (3)
240,12,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60220,KODJINAN,KODJINAN,Rural,abengourou,83.06103286384976,Matched (3)
238,3,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,1130,,MOSSIKRO,Urbain,abengourou,83.06103286384976,Matched (3)
249,7,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60210,APPROMPRONOU,KONANKRO,Rural,abengourou,83.06103286384976,Matched (3)
251,9,4,indenie-djuablin,indenie-djuablin,abengourou,zaranou,non communal,60,ZARANOU,ADIS ABEBA,Urbain,abengourou,83.06103286384976,Matched (3)
235,11,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,300,ABENGOUROU,RESIDENTIEL 1,Urbain,abengourou,83.06103286384976,Matched (3)
236,6,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,700,ABENGOUROU,CAFETOU,Urbain,abengourou,83.06103286384976,Matched (3)
240,4,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60220,KODJINAN,KODJINAN,Rural,abengourou,83.06103286384976,Matched (3)
242,3,4,indenie-djuablin,indenie-djuablin,abengourou,amelekia,non communal,60080,KOUADIOKRO,KOUADIOKRO,Rural,abengourou,83.06103286384976,Matched (3)
252,11,4,indenie-djuablin,indenie-djuablin,abengourou,zaranou,non communal,60090,BEBOU,AGNIKRO,Rural,abengourou,83.06103286384976,Matched (3)
238,6,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,1130,ABENGOUROU,MOSSIKRO,Urbain,abengourou,83.06103286384976,Matched (3)
250,3,4,indenie-djuablin,indenie-djuablin,abengourou,yakasse-feyasse,non communal,60240,KOUAMEZIANKRO,SINANKRO,Rural,abengourou,83.06103286384976,Matched (3)
239,6,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60170,DRAMANEKRO,DRAMANEKRO,Rural,abengourou,83.06103286384976,Matched (3)
242,1,4,indenie-djuablin,indenie-djuablin,abengourou,amelekia,non communal,60080,KOUADIOKRO,KOUADIOKRO,Rural,abengourou,83.06103286384976,Matched (3)
249,5,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60210,APPROMPRONOU,ALIKRO,Rural,abengourou,83.06103286384976,Matched (3)
236,2,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,700,CAFETOU,CAFETOU,Urbain,abengourou,83.06103286384976,Matched (3)
234,11,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,70,ABENGOUROU,RESIDENTIEL EXTENSION,Urbain,abengourou,83.06103286384976,Matched (3)
245,4,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,4004,EBILASSOKRO,AGNIKRO,Urbain,abengourou,83.06103286384976,Matched (3)
938,5,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,60050,PRIKRO OUELLE,PRIKRO OUELLE,Rural,abengourou,83.06103286384976,Matched (3)
252,7,4,indenie-djuablin,indenie-djuablin,abengourou,zaranou,non communal,60090,BEBOU,NOUVEAU  QUARTIER,Rural,abengourou,83.06103286384976,Matched (3)
245,2,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,4004,EBILASSOKRO,AGNIKRO,Urbain,abengourou,83.06103286384976,Matched (3)
251,4,4,indenie-djuablin,indenie-djuablin,abengourou,zaranou,non communal,60,ZARANOU,ADDIS ABEBA,Urbain,abengourou,83.06103286384976,Matched (3)
244,7,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60190,ANEKOUADIOKRO,ANEKOUADIOKRO,Rural,abengourou,83.06103286384976,Matched (3)
248,2,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60290,AFFALIKRO,NZIKRO,Rural,abengourou,83.06103286384976,Matched (3)
239,7,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60170,DRAMANEKRO,DRAMANEKRO,Rural,abengourou,83.06103286384976,Matched (3)
241,6,4,indenie-djuablin,indenie-djuablin,abengourou,amelekia,non communal,40060,AMELEKIA,RESIDENTIEL,Urbain,abengourou,83.06103286384976,Matched (3)
250,2,4,indenie-djuablin,indenie-djuablin,abengourou,yakasse-feyasse,non communal,60240,,ALLADJI DRAMANEKRO,Rural,abengourou,83.06103286384976,Matched (3)
245,8,4,indenie-djuablin,indenie-djuablin,abengourou,ebilassokro,non communal,4004,EBILASSOKRO,,Urbain,abengourou,83.06103286384976,Matched (3)
241,1,4,indenie-djuablin,indenie-djuablin,abengourou,amelekia,non communal,40060,AMELEKIA,BOUGEOISIE,Urbain,abengourou,83.06103286384976,Matched (3)
242,6,4,indenie-djuablin,indenie-djuablin,abengourou,amelekia,non communal,60080,KOUADIOKRO,,Rural,abengourou,83.06103286384976,Matched (3)
247,6,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60270,AFFALIKRO,ASSEKRO,Rural,abengourou,83.06103286384976,Matched (3)
237,8,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,810,ABENGOUROU,BELLE VILLE1,Urbain,abengourou,83.06103286384976,Matched (3)
239,11,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60170,DRAMANEKRO,DRAMANKRO,Rural,abengourou,83.06103286384976,Matched (3)
236,9,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,700,CAFETOU,CAFETOU,Urbain,abengourou,83.06103286384976,Matched (3)
241,3,4,indenie-djuablin,indenie-djuablin,abengourou,amelekia,non communal,40060,AMELEKIA,BAOULEKRO,Urbain,abengourou,83.06103286384976,Matched (3)
246,8,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60090,KOUAKOU N DRAMANKRO,,Rural,abengourou,83.06103286384976,Matched (3)
238,8,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,1130,ABENGOUROU,MOSSIKRO,Urbain,abengourou,83.06103286384976,Matched (3)
249,3,4,indenie-djuablin,indenie-djuablin,abengourou,yakasse-feyasse,non communal,60210,APPROMPRONOU,KONANKRO,Rural,abengourou,83.06103286384976,Matched (3)
235,4,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,300,ABENGOUROU,RESIDENTIEL,Urbain,abengourou,83.06103286384976,Matched (3)
243,9,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60140,AMIAN KOUASSIKRO,MOSSIKRO,Rural,abengourou,83.06103286384976,Matched (3)
239,3,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60170,DRAMANEKRO,DRAMANEKRO,Rural,abengourou,83.06103286384976,Matched (3)
238,10,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,1130,ABENGOUROU,MOSSIKRO,Urbain,abengourou,83.06103286384976,Matched (3)
241,5,4,indenie-djuablin,indenie-djuablin,abengourou,amelekia,non communal,40060,AMELEKIA,AMANHIA,Urbain,abengourou,83.06103286384976,Matched (3)
246,2,4,indenie-djuablin,indenie-djuablin,abengourou,niable,communal,60090,KOUAKOU NDRAMANKRO,NOUVEAU QUARTIER,Rural,abengourou,83.06103286384976,Matched (3)
239,5,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60170,DRAMANEKRO,DRAMANEKRO,Rural,abengourou,83.06103286384976,Matched (3)
250,10,4,indenie-djuablin,indenie-djuablin,abengourou,yakasse-feyasse,non communal,60240,KOAME ZANKRO,LADJI DRAMANEKRO,Rural,abengourou,83.06103286384976,Matched (3)
244,9,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60190,ANEKOUADIOKRO,SOKOURA,Rural,abengourou,83.06103286384976,Matched (3)
252,8,4,indenie-djuablin,indenie-djuablin,abengourou,zaranou,non communal,60090,BEBOU,ANCIEN QUARTIER,Rural,abengourou,83.06103286384976,Matched (3)
243,12,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60140,AMIAN KOUASSIKRO,ANCIEN MOSQUEE,Rural,abengourou,83.06103286384976,Matched (3)
238,9,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,1130,ABENGOUROU,MOSSIKRO,Urbain,abengourou,83.06103286384976,Matched (3)
251,5,4,indenie-djuablin,indenie-djuablin,abengourou,zaranou,non communal,60,ZARANOU,,Urbain,abengourou,83.06103286384976,Matched (3)
237,5,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,810,ABENGOUROU,BELLE VILLE1,Urbain,abengourou,83.06103286384976,Matched (3)
240,1,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60220,KODJINAN,KODJINAN,Rural,abengourou,83.06103286384976,Matched (3)
251,11,4,indenie-djuablin,indenie-djuablin,abengourou,zaranou,non communal,60,ZARANOU,ADIS ABEBA,Urbain,abengourou,83.06103286384976,Matched (3)
234,12,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,70,ABENGOUROU,RESIDENTIEL EXTENSION,Urbain,abengourou,83.06103286384976,Matched (3)
250,4,4,indenie-djuablin,indenie-djuablin,abengourou,yakasse-feyasse,non communal,60240,KOUAMEZIANKRO,BINIKRO,Rural,abengourou,83.06103286384976,Matched (3)
241,10,4,indenie-djuablin,indenie-djuablin,abengourou,amelekia,non communal,40060,AMELEKIA,,Urbain,abengourou,83.06103286384976,Matched (3)
243,10,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60140,AMIAN KOUASSIKRO,ATTIE,Rural,abengourou,83.06103286384976,Matched (3)
245,11,4,indenie-djuablin,indenie-djuablin,abengourou,ebilassokro,non communal,4004,EBILASSOKRO,EBILASSOKRO 1,Urbain,abengourou,83.06103286384976,Matched (3)
245,12,4,indenie-djuablin,indenie-djuablin,abengourou,ebilassokro,non communal,4004,EBILASSOKRO,EBILASSOKRO 1,Urbain,abengourou,83.06103286384976,Matched (3)
234,9,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,70,RESIDENTIEL EXTENTION,RESIDENTIEL EXTENTION,Urbain,abengourou,83.06103286384976,Matched (3)
249,6,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60210,APPROMPRONOU,ALIKRO,Rural,abengourou,83.06103286384976,Matched (3)
235,10,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,300,ABENGOUROU,RESIDENTIEL 1,Urbain,abengourou,83.06103286384976,Matched (3)
248,9,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60290,AFFALIKRO,,Rural,abengourou,83.06103286384976,Matched (3)
240,9,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60220,KODJINAN,KODJINAN,Rural,abengourou,83.06103286384976,Matched (3)
246,3,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60090,KOUAKOU NDRAMANKRO,AGNIKRO,Rural,abengourou,83.06103286384976,Matched (3)
242,5,4,indenie-djuablin,indenie-djuablin,abengourou,amelekia,non communal,60080,KOUADIOKRO,,Rural,abengourou,83.06103286384976,Matched (3)
234,6,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,70,ABENGOUROU,RESIDENTIEL RXTENSION,Urbain,abengourou,83.06103286384976,Matched (3)
236,4,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,700,KAFETOU,KAFETOU,Urbain,abengourou,83.06103286384976,Matched (3)
246,1,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60090,KOUAKOU NDRAMANKRO,AGNI,Rural,abengourou,83.06103286384976,Matched (3)
238,2,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,1130,ABENGOUROU,MOSSIKRO,Urbain,abengourou,83.06103286384976,Matched (3)
246,11,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60090,ABENGOUROU,DAFIKRO,Rural,abengourou,83.06103286384976,Matched (3)
243,2,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60140,AMIAN KOUASSIKRO,ATTIEKRO,Rural,abengourou,83.06103286384976,Matched (3)
242,4,4,indenie-djuablin,indenie-djuablin,abengourou,amelekia,non communal,60080,KOUADIOKRO,KOUADIOKRO,Rural,abengourou,83.06103286384976,Matched (3)
246,6,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60090,KOUAKOU N DRMANKRO,,Rural,abengourou,83.06103286384976,Matched (3)
249,9,4,indenie-djuablin,indenie-djuablin,abengourou,yakasse-feyasse,non communal,60210,APROMPRONOU,ALIKRO,Rural,abengourou,83.06103286384976,Matched (3)
241,9,4,indenie-djuablin,indenie-djuablin,abengourou,amelekia,non communal,40060,AMELEKIA,,Urbain,abengourou,83.06103286384976,Matched (3)
243,1,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60140,AMIAN KOUASSIKRO,ATTIEKRO,Rural,abengourou,83.06103286384976,Matched (3)
244,6,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60190,ANEKOUADIOKRO,ANEKOUADIOKRO,Rural,abengourou,83.06103286384976,Matched (3)
242,12,4,indenie-djuablin,indenie-djuablin,abengourou,amelekia,non communal,60080,AMEAKRO,DIMBOKRO,Rural,abengourou,83.06103286384976,Matched (3)
235,1,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,300,ABENGOUROU,RESIDENTIEL,Urbain,abengourou,83.06103286384976,Matched (3)
245,6,4,indenie-djuablin,indenie-djuablin,abengourou,ebilassokro,non communal,4004,EBILLASSOKRO,NGOUAYE,Urbain,abengourou,83.06103286384976,Matched (3)
241,4,4,indenie-djuablin,indenie-djuablin,abengourou,amelekia,non communal,40060,AMELEKIA,SROH,Urbain,abengourou,83.06103286384976,Matched (3)
250,12,4,indenie-djuablin,indenie-djuablin,abengourou,yakasse-feyasse,non communal,60240,KOUAME ZANKRO,BINIKRO,Rural,abengourou,83.06103286384976,Matched (3)
247,7,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60270,AFFALIKRO,ASSEKRO,Rural,abengourou,83.06103286384976,Matched (3)
245,10,4,indenie-djuablin,indenie-djuablin,abengourou,ebilassokro,non communal,4004,EBILASSOKRO,EBILASSOKRO 1,Urbain,abengourou,83.06103286384976,Matched (3)
240,11,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60220,KODJINAN,KODJINAN,Rural,abengourou,83.06103286384976,Matched (3)
240,10,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60220,KODJINAN,KODJINAN,Rural,abengourou,83.06103286384976,Matched (3)
244,11,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60190,ANEKOUADIOKRO,NOUVEAU QUARTIER,Rural,abengourou,83.06103286384976,Matched (3)
246,10,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60090,KOUAKOU NDRAMANKRO,DAFIKRO,Rural,abengourou,83.06103286384976,Matched (3)
244,3,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60190,ANEKOUADIOKRO,ANCIEN QUARTIER,Rural,abengourou,83.06103286384976,Matched (3)
235,7,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,300,ABENGOUROU,RESIDENTIEL 1,Urbain,abengourou,83.06103286384976,Matched (3)
250,6,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60240,KOUAMEZIANKRO,LADJIDRAMANEKRO,Rural,abengourou,83.06103286384976,Matched (3)
234,7,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,70,ABENGOUROU,RESIDENTIEL EXTENSION,Urbain,abengourou,83.06103286384976,Matched (3)
245,1,4,indenie-djuablin,indenie-djuablin,abengourou,ebilassokro,non communal,4004,EBILASSOKRO,AGNIKRO,Urbain,abengourou,83.06103286384976,Matched (3)
247,10,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60270,AFFALIKRO,ASSEKRO,Rural,abengourou,83.06103286384976,Matched (3)
246,9,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60090,KOUAKOU N'DRAMANKRO,DAFIKRO,Rural,abengourou,83.06103286384976,Matched (3)
252,9,4,indenie-djuablin,indenie-djuablin,abengourou,zaranou,non communal,60090,BEBOU,NOUVEAU QUARTIER,Rural,abengourou,83.06103286384976,Matched (3)
238,7,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,1130,ABENGOUROU,MOSSIKRO,Urbain,abengourou,83.06103286384976,Matched (3)
237,2,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,810,ABENGOUROU,BELLEVILLE 1,Urbain,abengourou,83.06103286384976,Matched (3)
235,8,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,300,ABENGOUROU,RESIDENTIEL,Urbain,abengourou,83.06103286384976,Matched (3)
240,7,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60220,KODJINAN,KODJINAN,Rural,abengourou,83.06103286384976,Matched (3)
250,7,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60240,KOUAMEZIANKRO,SINANKRO,Rural,abengourou,83.06103286384976,Matched (3)
249,10,4,indenie-djuablin,indenie-djuablin,abengourou,yakasse-feyasse,non communal,60210,APPOMPRONOU,ALIKRO,Rural,abengourou,83.06103286384976,Matched (3)
248,8,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60290,AFFALIKRO,,Rural,abengourou,83.06103286384976,Matched (3)
