i,beta,beta_hat,beta_hat_c0,beta_hat_c1,difference,difference_c0,difference_c1,y,mean_difference,mean_difference_c0,mean_difference_c1
63,11.608183,12.117229,11.155887,13.078569,-.5090456,.45229626,-1.4703865,0,.013238846,.9967503,-.97027254
64,11.339789,11.938279,10.955825,12.920732,-.59848976,.38396454,-1.5809431,0,.0036805868,.98717546,-.97981423
65,11.492324,12.023093,11.020604,13.025582,-.53076935,.47171974,-1.5332584,0,-.0045417198,.97924542,-.98832875
66,11.276965,11.958312,10.963466,12.953157,-.68134689,.31349945,-1.6761923,0,-.014796344,.96915835,-.99875093
67,11.34724,11.51647,10.516786,12.516154,-.16922951,.83045483,-1.1689138,0,-.017101316,.96708816,-1.0012907
68,11.497702,11.687157,10.703318,12.670996,-.18945503,.794384,-1.1732941,0,-.019635931,.96454835,-1.0038202
69,11.312684,11.22504,10.246531,12.203548,.087643623,1.0661526,-.89086437,0,-.018081153,.96602088,-1.0021831
70,11.420568,11.61941,10.614704,12.624114,-.19884109,.80586433,-1.2035456,0,-.020663438,.96373296,-1.0050597
71,11.436041,11.862176,10.833596,12.890756,-.42613506,.60244465,-1.4547148,0,-.026374307,.95864439,-1.0113928
72,11.571585,12.12974,11.154253,13.105226,-.55815506,.4173317,-1.5336409,0,-.033760149,.95112616,-1.0186464
73,11.313451,11.667239,10.681571,12.652906,-.35378838,.63187981,-1.3394556,0,-.038144097,.94675291,-1.023041
74,11.326638,11.27647,10.284588,12.268353,.050168037,1.0420504,-.94171524,0,-.036950693,.94804072,-1.021942
75,11.60105,11.497362,10.499711,12.495014,.10368824,1.1013393,-.89396381,0,-.035075504,.95008469,-1.0202357
76,11.372836,11.203622,10.218916,12.188329,.16921425,1.1539202,-.81549263,0,-.032387484,.95276672,-1.0175416
77,11.426346,11.550355,10.589974,12.510736,-.12400913,.83637142,-1.0843897,0,-.033577375,.95125514,-1.0184097
78,11.514324,11.301223,10.362571,12.239876,.21310139,1.1517534,-.72555161,0,-.030414825,.95382559,-1.0146552
79,11.423807,11.398658,10.426455,12.370862,.025149345,.9973526,-.94705486,0,-.029711481,.95437658,-1.0137994
80,11.246738,11.601868,10.632088,12.571647,-.35512924,.61465073,-1.3249083,0,-.033779204,.95012999,-1.0176884
81,11.283719,11.004918,10.043461,11.966375,.27880096,1.2402582,-.68265629,0,-.029920189,.95371187,-1.0135522
82,11.383451,11.485383,10.475765,12.495001,-.10193157,.90768623,-1.1115494,0,-.030798377,.95315057,-1.0147473
83,11.550678,11.968825,11.01146,12.92619,-.41814709,.53921795,-1.3755121,0,-.035465229,.94816339,-1.0190938
84,11.566298,11.491364,10.51785,12.464879,.074933052,1.0484476,-.8985815,0,-.034150966,.94935727,-1.0176592
85,11.628431,11.097355,10.096911,12.097797,.53107643,1.5315199,-.46936607,0,-.027501229,.95620626,-1.0112087
86,11.530624,11.201034,10.233045,12.169023,.3295908,1.2975798,-.63839817,0,-.023348996,.96017569,-1.0068736
87,11.403197,11.390534,10.411386,12.369682,.012662888,.9918108,-.96648502,0,-.022935066,.96053934,-1.0064094
88,11.575563,11.301088,10.335186,12.266991,.2744751,1.2403774,-.69142723,0,-.019555407,.96371931,-1.00283
89,11.539263,11.843098,10.876135,12.810061,-.30383492,.6631279,-1.2707987,0,-.022749558,.96034187,-1.0058409
90,11.475677,11.461639,10.511655,12.411625,.014038086,.96402264,-.93594742,0,-.022340806,.96038276,-1.0050644
91,11.473973,11.380167,10.420036,12.340297,.093806267,1.053937,-.86632347,0,-.021064464,.96141082,-1.0035397
92,11.52068,10.629243,9.6501503,11.608335,.89143753,1.8705301,-.087655067,0,-.011145965,.97129256,-.99358445
93,11.536235,11.644068,10.603973,12.684161,-.10783291,.93226147,-1.1479263,0,-.01218561,.97087288,-.99524403
94,11.353581,12.539237,11.604383,13.474092,-1.1856556,-.25080109,-2.1205101,0,-.024669332,.95787632,-1.0072149
95,11.560205,11.407154,10.42987,12.384439,.15305042,1.1303349,-.82423401,0,-.022798598,.9596917,-1.0052888
96,11.648604,11.501141,10.549312,12.452969,.1474638,1.0992928,-.8043642,0,-.021025032,.96114588,-1.0031959
97,11.701984,11.111453,10.118255,12.104651,.59053135,1.5837297,-.40266705,0,-.014720327,.96756428,-.99700487
98,11.463462,10.312909,9.3384552,11.287364,1.1505527,2.1250067,.17609787,0,-.0028297852,.97937489,-.98503441
99,11.802945,11.806912,10.79972,12.814105,-.0039672852,1.0032253,-1.0111599,0,-.0028412752,.97961581,-.98529828
100,11.584565,11.905711,10.892988,12.918434,-.32114601,.69157696,-1.333869,0,-.0060243225,.97673541,-.98878402
